fecha	valor	variacion
2009-05-31	1224	0.0016366612111293755
2009-06-30	1244	0.016339869281045694
2009-07-31	1242	-0.001607717041800627
2009-08-31	1230	-0.009661835748792313
2009-09-30	1211	-0.015447154471544766
2009-10-31	1187	-0.019818331957060287
2009-11-30	1175	-0.010109519797809607
2009-12-31	1136	-0.03319148936170213
2010-01-31	1122	-0.01232394366197187
2010-02-28	1081	-0.036541889483065915
2010-03-31	1059	-0.020351526364477346
2010-04-30	1048	-0.010387157695939564
2010-05-31	1042	-0.005725190839694694
2010-06-30	1031	-0.01055662188099804
2010-07-31	1020	-0.01066925315227929
2010-08-31	1013	-0.006862745098039191
2010-09-30	1002	-0.010858835143139234
2010-10-31	973	-0.02894211576846306
2010-11-30	964	-0.009249743062692661
2010-12-31	949	-0.01556016597510368
2011-01-31	950	0.0010537407797681642
2011-02-28	948	-0.002105263157894721
2011-03-31	933	-0.015822784810126556
2011-04-30	920	-0.01393354769560562
2011-05-31	909	-0.011956521739130421
2011-06-30	900	-0.00990099009900991
2011-07-31	895	-0.005555555555555536
2011-08-31	888	-0.007821229050279377
2011-09-30	874	-0.015765765765765716
2011-10-31	871	-0.003432494279176246
2011-11-30	870	-0.0011481056257175437
2011-12-31	859	-0.012643678160919491
2012-01-31	858	-0.0011641443538998875
2012-02-29	851	-0.00815850815850816
2012-03-31	829	-0.025851938895417148
2012-04-30	822	-0.008443908323281013
2012-05-31	814	-0.009732360097323589
2012-06-30	813	-0.0012285012285012664
2012-07-31	810	-0.0036900369003689537
2012-08-31	807	-0.0037037037037036535
2012-09-30	809	0.0024783147459728205
2012-10-31	811	0.0024721878862794533
2012-11-30	806	-0.006165228113440224
2012-12-31	807	0.001240694789081953
2013-01-31	802	-0.006195786864931829
2013-02-28	803	0.0012468827930174342
2013-03-31	797	-0.007471980074719831
2013-04-30	791	-0.007528230865746499
2013-05-31	793	0.0025284450063212116
2013-06-30	793	0
2013-07-31	793	0
2013-08-31	803	0.01261034047919285
2013-09-30	805	0.00249066002490661
2013-10-31	800	-0.006211180124223614
2013-11-30	811	0.013749999999999929
2013-12-31	840	0.035758323057953234
2014-01-31	990	0.1785714285714286
2014-02-28	921	-0.0696969696969697
2014-03-31	903	-0.019543973941368087
2014-04-30	882	-0.023255813953488413
2014-05-31	870	-0.013605442176870763
2014-06-30	859	-0.012643678160919491
2014-07-31	851	-0.0093131548311991
2014-08-31	849	-0.002350176263219761
2014-09-30	831	-0.021201413427561877
2014-10-31	825	-0.0072202166064981865
2014-11-30	812	-0.015757575757575748
2014-12-31	800	-0.014778325123152691
2015-01-31	791	-0.011249999999999982
2015-02-28	786	-0.006321112515802807
2015-03-31	782	-0.0050890585241730735
2015-04-30	774	-0.010230179028132946
2015-05-31	768	-0.007751937984496138
2015-06-30	768	0
2015-07-31	762	-0.0078125
2015-08-31	756	-0.007874015748031482
2015-09-30	750	-0.007936507936507908
2015-10-31	750	0
2015-11-30	744	-0.008000000000000007
2015-12-31	951	0.278225806451613
2016-01-31	976	0.02628811777076767
2016-02-29	1068	0.09426229508196715
2016-03-31	966	-0.0955056179775281
2016-04-30	896	-0.07246376811594202
2016-05-31	846	-0.0558035714285714
2016-06-30	885	0.046099290780141855
2016-07-31	865	-0.02259887005649719
2016-08-31	860	-0.005780346820809301
2016-09-30	874	0.016279069767441756
2016-10-31	847	-0.03089244851258577
2016-11-30	874	0.031877213695395534
2016-12-31	867	-0.008009153318077833
2017-01-31	858	-0.01038062283737029
2017-02-28	819	-0.045454545454545414
2017-03-31	795	-0.02930402930402931
2017-04-30	776	-0.023899371069182385
2017-05-31	799	0.029639175257731853
2017-06-30	817	0.02252816020025028
2017-07-31	852	0.04283965728274164
