fecha	valor	anio	mes
2017-06-30	81,7	2017	6
2017-07-31	85,2	2017	7
2017-08-31	82,7	2017	8
2017-09-30	81,6	2017	9
2017-10-31	82,1	2017	10
2017-11-30	79,6	2017	11
2017-12-31	83,3	2017	12
2018-01-31	86,6	2018	1
2018-02-28	86,8	2018	2
2018-03-31	85,0	2018	3
2018-04-30	84,6	2018	4
2018-05-31	100,9	2018	5
2018-06-30	112,5	2018	6
2018-07-31	103,7	2018	7
2018-08-31	134,5	2018	8
2018-09-30	141,6	2018	9
2018-10-31	117,4	2018	10
2018-11-30	119,3	2018	11
2018-12-31	116,3	2018	12
2019-01-31	111,9	2019	1
2019-02-28	113,4	2019	2
2019-03-31	120,4	2019	3
2019-04-30	119,0	2019	4
2019-05-31	117,1	2019	5
2019-06-30	108,1	2019	6
2019-07-31	109,5	2019	7
2019-08-31	143,0	2019	8
2019-09-30	130,9	2019	9
2019-10-31	131,7	2019	10
2019-11-30	127,3	2019	11
2019-12-31	122,9	2019	12
2020-01-31	121,3	2020	1
2020-02-29	122,7	2020	2
2020-03-31	122,5	2020	3
2020-04-30	124,2	2020	4
2020-05-31	125,3	2020	5
2020-06-30	126,5	2020	6
2020-07-31	128,1	2020	7
2020-08-31	128,4	2020	8
2020-09-30	128,5	2020	9
2020-10-31	127,5	2020	10
2020-11-30	128,6	2020	11
2020-12-31	128,5	2020	12
2021-01-31	128,5	2021	1
2021-02-28	128,1	2021	2
2021-03-31	125,8	2021	3
2021-04-30	123,8	2021	4
2021-05-31	122,1	2021	5
2021-06-30	120,5	2021	6
2021-07-31	118,8	2021	7
2021-08-31	117,5	2021	8
2021-09-30	115,1	2021	9
2021-10-31	113,4	2021	10
2021-11-30	112,9	2021	11
2021-12-31	111,4	2021	12
2022-01-31	110,3	2022	1
2022-02-28	108,6	2022	2
2022-03-31	106,2	2022	3
2022-04-30	104,5	2022	4
2022-05-31	104,6	2022	5
2022-06-30	104,8	2022	6
2022-07-31	102,3	2022	7
2022-08-31	101,1	2022	8
2022-09-30	101,5	2022	9
2022-10-31	102,2	2022	10
2022-11-30	104,1	2022	11
2022-12-31	105,1	2022	12
2023-01-31	105,2	2023	1
2023-02-28	104,4	2023	2
2023-03-31	102,9	2023	3
2023-04-30	101,5	2023	4
2023-05-31	101,5	2023	5
2023-06-30	102,8	2023	6
2023-07-31	103,9	2023	7
2023-08-31	118,1	2023	8
2023-09-30	105,1	2023	9
2023-10-31	97,2	2023	10
2023-11-30	88,8	2023	11
2023-12-31	159,2	2023	12
2024-01-31	135,3	2024	1
2024-02-29	122,3	2024	2
2024-03-31	112,7	2024	3
2024-04-15	108,5	2024	4
